根据startDate和endDate计算workingDays, calculateWorkingDays
dispatch窗口systemUI可见性变化, dispatchWindowSystemUiVisibilityChanged
给progressBar添加change监听, addChangeListener
返回source DocumentView, getDocument
丢弃流指定位置前的数据, flushBefore
获取合成器voice当前状态, getVoiceStatus
移除本集合与指定集合的交集, removeAll
释放byte buffer, release
交错GridLayoutManager保持span与item映射, invalidateSpanAssignments
获取Web SQL存储配额, getQuotaForOrigin
注册成功后调用, onRegistrationDone
移除跟踪属性变化的listener, removeChangeListener
以default type启动actionMode, startActionMode
返回imageView应用的drawable alpha, getImageAlpha
见remove3, remove
处理key事件, processKeyEvent
将缓存数据写入output, flush
设置volume变化callback, setCallback
获取profile当前连接状态, getConnectionState
判断cipher primitive的algorithm/密钥是否permit, permits
移除之前添加的pageChangeListener, removeOnPageChangeListener
滚动到子视图时定义左/右边缘对齐方式, getHorizontalSnapPreference
准备panel、view、activity菜单的默认实现, onPreparePanel
添加final intent中CC字段email地址数组, addEmailCc
边界insets, borderInsets
返回元素指定type的annotation或null, getAnnotation
根据输入weekData设置calendar, setWeekData
返回index处属性charSequence, getTextArray
若region含多个矩形返回true, isComplex
设置popup延迟出现时间, setMillisToPopup
设置textView字符串值, setText
已弃用：后续版本将移除该API, removeEntry
返回sparseBooleanArray当前映射数, size
获取paint colorFilter, getColorFilter
以stream形式返回SQLXML的XML值, getBinaryStream
获取锁, lock
打开上下文actionMode溢出菜单, openContextualActionModeOverflowMenu
使用Runnable对象创建线程时，start会触发在独立线程中调用其run方法, run
返回按tag属性值匹配view的matcher, withTagValue
恢复暂停的动画, resume
设置view绕Y轴的旋转角度, setRotationY
关闭对象并释放资源, free
将allocation部分区域复制到此allocation, copy1DRangeFrom
返回SIM IO命令APDU的响应APDU, iccExchangeSimIO
修改/更新ProtectionDomains, combine
检测mediaPlayer是否looping, isLooping
为指定view注册contextMenu, registerForContextMenu
获取notification关联的pricingType, getPricingType
在属性动画valueAnimator设置update监听, setUpdateListener
对region执行指定操作, op
获取当前值, getCurrent
将WebView内容向下滚动半页, pageDown
返回创建pendingIntent的uid, getCreatorUid
获取session的audioAttributes, getAudioAttributes
调整temporal对象使era与当前对象一致, adjustInto
停用IME, deactivate
通知listener编辑已结束, editingStopped
返回activity类名（不含包前缀）, getLocalClassName
设置Y轴值是相对drawable高度还是绝对像素, setPivotYRelative
返回viewHolder中的iconView, getIconView
ICC profile tag签名'kTRC', icSigGrayTRCTag
关闭memory文件, close
从source bitmap创建immutable bitmap, createBitmap
仅保留与指定集合的交集, retainAll
返回view宽度像素值, getWidth
按键释放且未被activity内任一view处理时调用, onKeyUp
返回目录子文档列表, queryChildDocuments
实现接口的对象触发PropertyChangeEvent(propertyName="beanContext"), setBeanContext
viewHolder开始add动画时调用, onAddStarting
返回此对象表示的基础视图的类名,get class name
当用户点击可穿戴列表视图的前三分之一并且那里不存在任何项目时调用,on top empty region click
当通过调用setVisible（true）或将其添加到组件层次结构中使源或其祖先之一可见时调用。,ancestorAdded
将argb颜色转换为其cie xyz代表分量,color to xyz
在将UI安装到JTextComponent的接口时调用。,install
请参阅内容提供者.获取流类型,get stream types
获取遍历过程中访问该节点之前的节点,get traversal before
在执行时返回到您的应用程序的额外内容包,get extras
设置此视图的背景颜色,set background color
用于读取char值的相对 get方法。,getChar
位图过滤器是否被激活,is filter bitmap
获取内核之上 src 的内核 ID,get kernel ids rc atop
返回当前毫秒数而不重新计算,internal get time in millis
设置此事件的操作,set action
当当前节目内容被允许观看时调用，因为其内容分级未被家长控制阻止,on content allowed
返回当前正在运行的服务的列表,get running services
移动动画完成时由子类调用的方法,dispatch move finished
返回与该部分关联的值,get value
返回一个具有命名空间支持的新拉解析器,new pull parser
返回当前标题,get title
"zgbmv 执行矩阵向量运算之一 y := alpha ax + betay 或 y := alpha atx + betay 或 y := alpha ahx + betay 详细信息： 注意：对于 mn 矩阵，输入分配的大小也应为 mn dimy = m , dimx = n ，但仅引用区域 mkl+ku+1",zgbmv
返回列表中标题视图的数量,get header views count
将指定的菜单项追加到此菜单的末尾,add
将备用处理模式设置为在构建基于规则的整理器期间设置的初始模式,set alternate handling default
将应用程序清单中活动的父活动名称属性或活动别名元素指定的活动父链添加到任务堆栈构建器中,add parent stack
指示此弹出窗口是否显示在屏幕上,is showing
调用 start 后延迟启动动画的时间量（以毫秒为单位）,set start delay
返回一个List，其中包含在DTD中声明的外部和内部通用实体。,getEntities
通过调用Toolkit.getDefaultToolkit().getDesktopProperty获取指定系统桌面属性的值,getDesktopPropertyValue
返回绘画的描边连接类型,get stroke join
返回此格式使用的货币复数信息的副本,get currency plural info
当您的 Activity 运行时设备配置发生更改时由系统调用,on configuration changed
返回用于显示货币金额的货币对象,get currency
在逻辑样式层次结构中添加新样式。,addStyle
当连续出现多个相同键的向下/向上对时调用,on key multiple
当Window不再是活动Window时调用。,windowDeactivated
"此方法已被弃用。用于 pullfloat , float",on pull
设置数据源后调用该方法,get frame at time
在某个节点（或一组兄弟节点）以某种方式更改后调用。,treeNodesChanged
返回视图的可见边界,get visible bounds
返回此deque的元素数量, size
当sharedElements已到达list/已就绪后调用，指示其可在source隐藏并在targetActivity显示, onSharedElementsReady
当item从给定position被remove时由SortedList调用, onRemoved
使用Runnable对象创建线程时，start将触发在独立线程中调用其run方法, run
返回仅允许&和空格的value sanitizer, getAmpAndSpaceLegal
返回此spanClass的特殊typeId, getSpanTypeId
给定publicKeyType与CA列表，返回验证secureSocket server端的匹配alias, getServerAliases
返回当前event的prefix，若无则null, getPrefix
对于IO输出，destroy即设置surface为null, destroy
检索并移除queue头部，空则返回null, poll
释放stream相关资源, close
用户请求help时调用，提供当前activity相关content引用, onProvideAssistContent
返回index处属性的prefix, getAttributePrefix
播放控制row变化时调用, onRowChanged
